GRAPH,Algorithm,Execução,Resultado
100-1980,BFS,1,0.0127356
100-1980,BFS,2,0.0119814
100-1980,BFS,3,0.0129766
100-1980,BFS,4,0.0158554
100-1980,BFS,5,0.0143714
100-1980,BFS,6,0.0136031
100-1980,BFS,7,0.0142551
100-1980,BFS,8,0.0116219
100-1980,BFS,9,0.0093271
100-1980,BFS,10,0.0103177
100-1980,DFS,1,0.0064813
100-1980,DFS,2,0.0083984
100-1980,DFS,3,0.0055901
100-1980,DFS,4,0.0072208
100-1980,DFS,5,0.0063837
100-1980,DFS,6,0.0055436
100-1980,DFS,7,0.0076965
100-1980,DFS,8,0.0051318
100-1980,DFS,9,0.006669
100-1980,DFS,10,0.0075419
100-1980,Ordenação,1,0.0066762
100-1980,Ordenação,2,0.007353
100-1980,Ordenação,3,0.0060235
100-1980,Ordenação,4,0.0074732
100-1980,Ordenação,5,0.0058187
100-1980,Ordenação,6,0.0080648
100-1980,Ordenação,7,0.005754
100-1980,Ordenação,8,0.0054117
100-1980,Ordenação,9,0.008932
100-1980,Ordenação,10,0.00548
100-1980,Kruskal,1,0.022516
100-1980,Kruskal,2,0.0201905
100-1980,Kruskal,3,0.0212542
100-1980,Kruskal,4,0.0274097
100-1980,Kruskal,5,0.0179701
100-1980,Kruskal,6,0.0175011
100-1980,Kruskal,7,0.0164356
100-1980,Kruskal,8,0.017632
100-1980,Kruskal,9,0.018561
100-1980,Kruskal,10,0.0168717
100-1980,Prim,1,0.0226769
100-1980,Prim,2,0.0186712
100-1980,Prim,3,0.019409
100-1980,Prim,4,0.0150374
100-1980,Prim,5,0.0129625
100-1980,Prim,6,0.0122189
100-1980,Prim,7,0.012415
100-1980,Prim,8,0.0128191
100-1980,Prim,9,0.0126061
100-1980,Prim,10,0.0122707
100-1980,Bellman - Lista,1,0.0061926
100-1980,Bellman - Lista,2,0.006326
100-1980,Bellman - Lista,3,0.006452
100-1980,Bellman - Lista,4,0.0075718
100-1980,Bellman - Lista,5,0.0059567
100-1980,Bellman - Lista,6,0.006891
100-1980,Bellman - Lista,7,0.0071126
100-1980,Bellman - Lista,8,0.0061287
100-1980,Bellman - Lista,9,0.0075665
100-1980,Bellman - Lista,10,0.0057192
100-1980,Bellman - Matriz,1,0.0075491
100-1980,Bellman - Matriz,2,0.0103458
100-1980,Bellman - Matriz,3,0.009302
100-1980,Bellman - Matriz,4,0.006147
100-1980,Bellman - Matriz,5,0.0073745
100-1980,Bellman - Matriz,6,0.0054982
100-1980,Bellman - Matriz,7,0.0069557
100-1980,Bellman - Matriz,8,0.0056193
100-1980,Bellman - Matriz,9,0.0058881
100-1980,Bellman - Matriz,10,0.0069486
100-1980,Djkstra - Lista,1,0.0136856
100-1980,Djkstra - Lista,2,0.0139283
100-1980,Djkstra - Lista,3,0.017082
100-1980,Djkstra - Lista,4,0.0205924
100-1980,Djkstra - Lista,5,0.0202802
100-1980,Djkstra - Lista,6,0.0163419
100-1980,Djkstra - Lista,7,0.0181233
100-1980,Djkstra - Lista,8,0.0201691
100-1980,Djkstra - Lista,9,0.0227545
100-1980,Djkstra - Lista,10,0.0157672
100-1980,Djkstra - Matriz,1,0.022036
100-1980,Djkstra - Matriz,2,0.0218626
100-1980,Djkstra - Matriz,3,0.021797
100-1980,Djkstra - Matriz,4,0.0173299
100-1980,Djkstra - Matriz,5,0.0136409
100-1980,Djkstra - Matriz,6,0.0133521
100-1980,Djkstra - Matriz,7,0.0125914
100-1980,Djkstra - Matriz,8,0.0119472
100-1980,Djkstra - Matriz,9,0.0130064
100-1980,Djkstra - Matriz,10,0.0131841
100-1980,Floyd,1,0.4456721
100-1980,Floyd,2,0.4310698
100-1980,Floyd,3,0.4757157
100-1980,Floyd,4,0.4273844
100-1980,Floyd,5,0.4283478
100-1980,Floyd,6,0.4360677
100-1980,Floyd,7,0.432291
100-1980,Floyd,8,0.4304547
100-1980,Floyd,9,0.483208
100-1980,Floyd,10,0.4472211
100-1980,Fulkerson,1,0.0027802
100-1980,Fulkerson,2,0.0026022
100-1980,Fulkerson,3,0.0035272
100-1980,Fulkerson,4,0.0053901
100-1980,Fulkerson,5,0.003028
100-1980,Fulkerson,6,0.0027583
100-1980,Fulkerson,7,0.0028702
100-1980,Fulkerson,8,0.0025762
100-1980,Fulkerson,9,0.0040857
100-1980,Fulkerson,10,0.003094
100-3960,BFS,1,0.0142725
100-3960,BFS,2,0.0152049
100-3960,BFS,3,0.0123038
100-3960,BFS,4,0.0137227
100-3960,BFS,5,0.0152509
100-3960,BFS,6,0.0174685
100-3960,BFS,7,0.0145892
100-3960,BFS,8,0.0136494
100-3960,BFS,9,0.0121994
100-3960,BFS,10,0.0134399
100-3960,DFS,1,0.0094769
100-3960,DFS,2,0.0119082
100-3960,DFS,3,0.0081397
100-3960,DFS,4,0.0079792
100-3960,DFS,5,0.0090389
100-3960,DFS,6,0.0078054
100-3960,DFS,7,0.0089288
100-3960,DFS,8,0.0083585
100-3960,DFS,9,0.0082311
100-3960,DFS,10,0.011246
100-3960,Ordenação,1,0.0088707
100-3960,Ordenação,2,0.010491
100-3960,Ordenação,3,0.0079117
100-3960,Ordenação,4,0.0090401
100-3960,Ordenação,5,0.0081661
100-3960,Ordenação,6,0.0096024
100-3960,Ordenação,7,0.007943
100-3960,Ordenação,8,0.010464
100-3960,Ordenação,9,0.0084471
100-3960,Ordenação,10,0.0082563
100-3960,Kruskal,1,0.0460475
100-3960,Kruskal,2,0.053606
100-3960,Kruskal,3,0.017763
100-3960,Kruskal,4,0.0229699
100-3960,Kruskal,5,0.020366
100-3960,Kruskal,6,0.0198181
100-3960,Kruskal,7,0.0187437
100-3960,Kruskal,8,0.0292733
100-3960,Kruskal,9,0.02794
100-3960,Kruskal,10,0.0225999
100-3960,Prim,1,0.0215058
100-3960,Prim,2,0.019166
100-3960,Prim,3,0.0163899
100-3960,Prim,4,0.0161487
100-3960,Prim,5,0.0181731
100-3960,Prim,6,0.0148318
100-3960,Prim,7,0.0148171
100-3960,Prim,8,0.0140235
100-3960,Prim,9,0.0140833
100-3960,Prim,10,0.0156569
100-3960,Bellman - Lista,1,0.0088945
100-3960,Bellman - Lista,2,0.0113202
100-3960,Bellman - Lista,3,0.0085645
100-3960,Bellman - Lista,4,0.010062
100-3960,Bellman - Lista,5,0.0098297
100-3960,Bellman - Lista,6,0.0087128
100-3960,Bellman - Lista,7,0.0096927
100-3960,Bellman - Lista,8,0.00779
100-3960,Bellman - Lista,9,0.0092289
100-3960,Bellman - Lista,10,0.0080119
100-3960,Bellman - Matriz,1,0.0083486
100-3960,Bellman - Matriz,2,0.0084855
100-3960,Bellman - Matriz,3,0.0081505
100-3960,Bellman - Matriz,4,0.0092589
100-3960,Bellman - Matriz,5,0.0092602
100-3960,Bellman - Matriz,6,0.0116794
100-3960,Bellman - Matriz,7,0.0081184
100-3960,Bellman - Matriz,8,0.0069814
100-3960,Bellman - Matriz,9,0.0088601
100-3960,Bellman - Matriz,10,0.0071567
100-3960,Djkstra - Lista,1,0.0147445
100-3960,Djkstra - Lista,2,0.0155488
100-3960,Djkstra - Lista,3,0.0152431
100-3960,Djkstra - Lista,4,0.0155682
100-3960,Djkstra - Lista,5,0.0154736
100-3960,Djkstra - Lista,6,0.0153651
100-3960,Djkstra - Lista,7,0.0155282
100-3960,Djkstra - Lista,8,0.0554317
100-3960,Djkstra - Lista,9,0.0160981
100-3960,Djkstra - Lista,10,0.0159478
100-3960,Djkstra - Matriz,1,0.0220491
100-3960,Djkstra - Matriz,2,0.018985
100-3960,Djkstra - Matriz,3,0.0162795
100-3960,Djkstra - Matriz,4,0.016797
100-3960,Djkstra - Matriz,5,0.0163793
100-3960,Djkstra - Matriz,6,0.0167696
100-3960,Djkstra - Matriz,7,0.0148917
100-3960,Djkstra - Matriz,8,0.0192873
100-3960,Djkstra - Matriz,9,0.0168925
100-3960,Djkstra - Matriz,10,0.0136523
100-3960,Floyd,1,0.4553611
100-3960,Floyd,2,0.4293935
100-3960,Floyd,3,0.4353342
100-3960,Floyd,4,0.441725
100-3960,Floyd,5,0.4603079
100-3960,Floyd,6,0.4361688
100-3960,Floyd,7,0.4879285
100-3960,Floyd,8,0.4362637
100-3960,Floyd,9,0.4267932
100-3960,Floyd,10,0.4318219
100-3960,Fulkerson,1,0.0041987
100-3960,Fulkerson,2,0.0059429
100-3960,Fulkerson,3,0.0042292
100-3960,Fulkerson,4,0.0047665
100-3960,Fulkerson,5,0.0038273
100-3960,Fulkerson,6,0.0037685
100-3960,Fulkerson,7,0.0042594
100-3960,Fulkerson,8,0.0037638
100-3960,Fulkerson,9,0.0036865
100-3960,Fulkerson,10,0.0038588
100-5940,BFS,1,0.020483
100-5940,BFS,2,0.0165388
100-5940,BFS,3,0.0143234
100-5940,BFS,4,0.0148526
100-5940,BFS,5,0.0176635
100-5940,BFS,6,0.0158988
100-5940,BFS,7,0.0145467
100-5940,BFS,8,0.0135466
100-5940,BFS,9,0.0148869
100-5940,BFS,10,0.0135824
100-5940,DFS,1,0.0100733
100-5940,DFS,2,0.0113953
100-5940,DFS,3,0.0108211
100-5940,DFS,4,0.0101728
100-5940,DFS,5,0.0094068
100-5940,DFS,6,0.012182
100-5940,DFS,7,0.0093031
100-5940,DFS,8,0.0104569
100-5940,DFS,9,0.0107007
100-5940,DFS,10,0.0090913
100-5940,Ordenação,1,0.0143677
100-5940,Ordenação,2,0.0170387
100-5940,Ordenação,3,0.0114475
100-5940,Ordenação,4,0.0124741
100-5940,Ordenação,5,0.0134747
100-5940,Ordenação,6,0.0149616
100-5940,Ordenação,7,0.0101069
100-5940,Ordenação,8,0.0112109
100-5940,Ordenação,9,0.0142502
100-5940,Ordenação,10,0.0130118
100-5940,Kruskal,1,0.0269529
100-5940,Kruskal,2,0.0285198
100-5940,Kruskal,3,0.0731084
100-5940,Kruskal,4,0.0246608
100-5940,Kruskal,5,0.0256634
100-5940,Kruskal,6,0.0219179
100-5940,Kruskal,7,0.0255235
100-5940,Kruskal,8,0.0221382
100-5940,Kruskal,9,0.021092
100-5940,Kruskal,10,0.0194589
100-5940,Prim,1,0.0212256
100-5940,Prim,2,0.0179612
100-5940,Prim,3,0.0182098
100-5940,Prim,4,0.0245312
100-5940,Prim,5,0.0180753
100-5940,Prim,6,0.0164515
100-5940,Prim,7,0.0156776
100-5940,Prim,8,0.0161286
100-5940,Prim,9,0.0155095
100-5940,Prim,10,0.0146521
100-5940,Bellman - Lista,1,0.0103168
100-5940,Bellman - Lista,2,0.0112484
100-5940,Bellman - Lista,3,0.0111598
100-5940,Bellman - Lista,4,0.0115582
100-5940,Bellman - Lista,5,0.0096088
100-5940,Bellman - Lista,6,0.0110526
100-5940,Bellman - Lista,7,0.0123925
100-5940,Bellman - Lista,8,0.0122626
100-5940,Bellman - Lista,9,0.0117919
100-5940,Bellman - Lista,10,0.0103568
100-5940,Bellman - Matriz,1,0.0142249
100-5940,Bellman - Matriz,2,0.0097233
100-5940,Bellman - Matriz,3,0.0104788
100-5940,Bellman - Matriz,4,0.0129158
100-5940,Bellman - Matriz,5,0.0124556
100-5940,Bellman - Matriz,6,0.0117783
100-5940,Bellman - Matriz,7,0.0099628
100-5940,Bellman - Matriz,8,0.0112187
100-5940,Bellman - Matriz,9,0.0110743
100-5940,Bellman - Matriz,10,0.0100899
100-5940,Djkstra - Lista,1,0.023551
100-5940,Djkstra - Lista,2,0.0245348
100-5940,Djkstra - Lista,3,0.018337
100-5940,Djkstra - Lista,4,0.0172248
100-5940,Djkstra - Lista,5,0.0176584
100-5940,Djkstra - Lista,6,0.0180492
100-5940,Djkstra - Lista,7,0.0177006
100-5940,Djkstra - Lista,8,0.0181225
100-5940,Djkstra - Lista,9,0.0176728
100-5940,Djkstra - Lista,10,0.0172867
100-5940,Djkstra - Matriz,1,0.0192927
100-5940,Djkstra - Matriz,2,0.0188059
100-5940,Djkstra - Matriz,3,0.0172279
100-5940,Djkstra - Matriz,4,0.0168441
100-5940,Djkstra - Matriz,5,0.0207768
100-5940,Djkstra - Matriz,6,0.0169098
100-5940,Djkstra - Matriz,7,0.0172494
100-5940,Djkstra - Matriz,8,0.0176566
100-5940,Djkstra - Matriz,9,0.0162675
100-5940,Djkstra - Matriz,10,0.0162561
100-5940,Floyd,1,0.4645515
100-5940,Floyd,2,0.4590762
100-5940,Floyd,3,0.4492893
100-5940,Floyd,4,0.4347762
100-5940,Floyd,5,0.4883215
100-5940,Floyd,6,0.4378005
100-5940,Floyd,7,0.4340969
100-5940,Floyd,8,0.4351109
100-5940,Floyd,9,0.4391427
100-5940,Floyd,10,0.4462515
100-5940,Fulkerson,1,0.0060072
100-5940,Fulkerson,2,0.0066093
100-5940,Fulkerson,3,0.0058787
100-5940,Fulkerson,4,0.006824
100-5940,Fulkerson,5,0.0053667
100-5940,Fulkerson,6,0.0052642
100-5940,Fulkerson,7,0.0060292
100-5940,Fulkerson,8,0.0050978
100-5940,Fulkerson,9,0.0051502
100-5940,Fulkerson,10,0.0065545
100-7920,BFS,1,0.0177982
100-7920,BFS,2,0.0193237
100-7920,BFS,3,0.0177438
100-7920,BFS,4,0.0192737
100-7920,BFS,5,0.0189065
100-7920,BFS,6,0.0167692
100-7920,BFS,7,0.0161953
100-7920,BFS,8,0.0170455
100-7920,BFS,9,0.0184422
100-7920,BFS,10,0.0161262
100-7920,DFS,1,0.0114446
100-7920,DFS,2,0.0124967
100-7920,DFS,3,0.012335
100-7920,DFS,4,0.012805
100-7920,DFS,5,0.011788
100-7920,DFS,6,0.0123131
100-7920,DFS,7,0.0120733
100-7920,DFS,8,0.013914
100-7920,DFS,9,0.012408
100-7920,DFS,10,0.0106805
100-7920,Ordenação,1,0.011783
100-7920,Ordenação,2,0.01478
100-7920,Ordenação,3,0.0108848
100-7920,Ordenação,4,0.010977
100-7920,Ordenação,5,0.013143
100-7920,Ordenação,6,0.0109536
100-7920,Ordenação,7,0.0136789
100-7920,Ordenação,8,0.0120946
100-7920,Ordenação,9,0.0126333
100-7920,Ordenação,10,0.0117922
100-7920,Kruskal,1,0.0353865
100-7920,Kruskal,2,0.0296645
100-7920,Kruskal,3,0.0334323
100-7920,Kruskal,4,0.0221708
100-7920,Kruskal,5,0.0199587
100-7920,Kruskal,6,0.0212073
100-7920,Kruskal,7,0.0212932
100-7920,Kruskal,8,0.01995
100-7920,Kruskal,9,0.02216
100-7920,Kruskal,10,0.0211455
100-7920,Prim,1,0.0215231
100-7920,Prim,2,0.018403
100-7920,Prim,3,0.0205789
100-7920,Prim,4,0.0191645
100-7920,Prim,5,0.0182295
100-7920,Prim,6,0.0222903
100-7920,Prim,7,0.0172072
100-7920,Prim,8,0.018018
100-7920,Prim,9,0.017308
100-7920,Prim,10,0.017172
100-7920,Bellman - Lista,1,0.0132646
100-7920,Bellman - Lista,2,0.0117703
100-7920,Bellman - Lista,3,0.0135562
100-7920,Bellman - Lista,4,0.0125
100-7920,Bellman - Lista,5,0.015267
100-7920,Bellman - Lista,6,0.0131034
100-7920,Bellman - Lista,7,0.0111171
100-7920,Bellman - Lista,8,0.0130933
100-7920,Bellman - Lista,9,0.012359
100-7920,Bellman - Lista,10,0.0131855
100-7920,Bellman - Matriz,1,0.0111436
100-7920,Bellman - Matriz,2,0.0144098
100-7920,Bellman - Matriz,3,0.012504
100-7920,Bellman - Matriz,4,0.0102273
100-7920,Bellman - Matriz,5,0.0112245
100-7920,Bellman - Matriz,6,0.0118745
100-7920,Bellman - Matriz,7,0.0132603
100-7920,Bellman - Matriz,8,0.0112823
100-7920,Bellman - Matriz,9,0.0113436
100-7920,Bellman - Matriz,10,0.0112348
100-7920,Djkstra - Lista,1,0.0186132
100-7920,Djkstra - Lista,2,0.0204944
100-7920,Djkstra - Lista,3,0.0197895
100-7920,Djkstra - Lista,4,0.0194896
100-7920,Djkstra - Lista,5,0.0280285
100-7920,Djkstra - Lista,6,0.0323084
100-7920,Djkstra - Lista,7,0.0375073
100-7920,Djkstra - Lista,8,0.0255786
100-7920,Djkstra - Lista,9,0.0480411
100-7920,Djkstra - Lista,10,0.025489
100-7920,Djkstra - Matriz,1,0.0309374
100-7920,Djkstra - Matriz,2,0.0196819
100-7920,Djkstra - Matriz,3,0.0214274
100-7920,Djkstra - Matriz,4,0.0192554
100-7920,Djkstra - Matriz,5,0.016648
100-7920,Djkstra - Matriz,6,0.0173431
100-7920,Djkstra - Matriz,7,0.0167162
100-7920,Djkstra - Matriz,8,0.0173337
100-7920,Djkstra - Matriz,9,0.0193251
100-7920,Djkstra - Matriz,10,0.0172333
100-7920,Floyd,1,0.4486809
100-7920,Floyd,2,0.4386516
100-7920,Floyd,3,0.4879201
100-7920,Floyd,4,0.4390029
100-7920,Floyd,5,0.4326247
100-7920,Floyd,6,0.4297137
100-7920,Floyd,7,0.4310026
100-7920,Floyd,8,0.4424624
100-7920,Floyd,9,0.4273955
100-7920,Floyd,10,0.507205
100-7920,Fulkerson,1,0.0072287
100-7920,Fulkerson,2,0.0087815
100-7920,Fulkerson,3,0.0076296
100-7920,Fulkerson,4,0.0075469
100-7920,Fulkerson,5,0.0125618
100-7920,Fulkerson,6,0.0071864
